actor,premios,valores
Daniel Day-Lewis,Academy Awards,3
Daniel Day-Lewis,BAFTA Awards,4
Daniel Day-Lewis,Satellite Awards,2
Daniel Day-Lewis,"Golde Globes, USA",2
Daniel Day-Lewis,Critics Choice Awards,3
Daniel Day-Lewis,Screen Actors Guild Awards,3
Robert Downey Jr.,Academy Awards,0
Robert Downey Jr.,BAFTA Awards,1
Robert Downey Jr.,Satellite Awards,0
Robert Downey Jr.,"Golde Globes, USA",3
Robert Downey Jr.,Critics Choice Awards,0
Robert Downey Jr.,Screen Actors Guild Awards,1
Robin Williams,Academy Awards,1
Robin Williams,BAFTA Awards,0
Robin Williams,Satellite Awards,0
Robin Williams,"Golde Globes, USA",5
Robin Williams,Critics Choice Awards,0
Robin Williams,Screen Actors Guild Awards,2
