valores,labels,ciudades
79.8,Condiciones Laborales,Punta Arenas
24.58,Ambiente de Negocios,Punta Arenas
49.07,Condiciones Socioculturales,Punta Arenas
66.37,Conectividad y Movilidad,Punta Arenas
66.68,Salud y Medio Ambiente,Punta Arenas
44.03,Vivienda y Entorno,Punta Arenas
69.44,Condiciones Laborales,Puerto Varas
38.9,Ambiente de Negocios,Puerto Varas
42.16,Condiciones Socioculturales,Puerto Varas
48.2,Conectividad y Movilidad,Puerto Varas
67.86,Salud y Medio Ambiente,Puerto Varas
50.51,Vivienda y Entorno,Puerto Varas
70.76,Condiciones Laborales,Valparaiso
20.45,Ambiente de Negocios,Valparaiso
39.66,Condiciones Socioculturales,Valparaiso
59.94,Conectividad y Movilidad,Valparaiso
60.68,Salud y Medio Ambiente,Valparaiso
30.7,Vivienda y Entorno,Valparaiso
